volunteer_zip_code,voter_zip_code,messaged,not_messaged,all
07090,33484,0,2,2
07090,34242,0,1,1
07090,37204,0,2,2
07090,39501,0,1,1
07090,53703,0,3,3
07090,60025,0,2,2
07090,60201,0,1,1
07090,63130,0,1,1
07090,70433,0,1,1
07090,75013,0,1,1
07090,75215,0,1,1
07090,77064,0,1,1
07090,80907,0,1,1
07090,90039,0,1,1
07090,91423,0,1,1
07090,94111,0,2,2
07090,94596,0,2,2
07090,97034,0,1,1
07307,77062,1,2,3
07311,00011,0,4,4
07311,06417,0,3,3
07311,07022,0,2,2
07311,07028,0,4,4
07311,07030,0,3,3
07311,07047,0,4,4
07311,07094,0,3,3
07311,07110,0,4,4
07311,07302,0,7,7
07311,07735,0,3,3
07311,08816,0,3,3
07311,08879,0,2,2
07311,10007,0,3,3
07311,10011,0,2,2
07311,10014,0,3,3
07311,10016,0,4,4
07311,10019,0,4,4
07311,10021,0,3,3
07311,10023,0,4,4
07311,10027,0,3,3
07311,10029,0,3,3
07311,10034,0,3,3
07311,10036,0,4,4
07311,10128,0,2,2
07311,10301,0,2,2
07311,10310,0,2,2
07311,10312,0,3,3
07311,10314,0,3,3
07311,10543,0,4,4
07311,11103,0,10,10
07311,11109,0,4,4
07311,11204,0,4,4
07311,11206,0,2,2
07311,11207,0,6,6
07311,11209,0,1,1
07311,11211,0,14,14
07311,11215,0,6,6
07311,11226,0,4,4
07311,11228,0,3,3
07311,11230,0,4,4
07311,11233,0,3,3
07311,11249,0,4,4
07311,11363,0,4,4
07311,11368,0,3,3
07311,11372,0,6,6
07311,11378,0,4,4
07311,11386,0,3,3
07311,11714,0,1,1
07311,11717,0,4,4
07311,11746,0,4,4
07311,94089,0,3,3
07311,95014,0,10,10
07405,07042,0,4,4
07405,07444,0,10,10
07405,07470,0,4,4
07405,11106,0,3,3
07423,27517,0,1,1
07423,48198,0,1,1
07423,48322,0,1,1
07423,48323,0,1,1
07423,60062,0,1,1
07423,60110,0,1,1
07506,07430,0,2,2
07506,18974,0,2,2
07704,07307,0,2,2
07704,07711,0,2,2
07704,07712,0,2,2
07704,07728,0,2,2
07704,07755,0,2,2
07728,01801,0,4,4
07728,02860,0,2,2
07728,03465,0,4,4
07728,07012,0,2,2
07728,07083,0,2,2
07728,07093,0,2,2
07728,07102,0,14,14
07728,07306,0,2,2
07728,07424,0,2,2
07728,07701,0,4,4
07728,07719,0,4,4
07728,07728,0,13,13
07728,07764,0,1,1
07728,08037,0,2,2
07728,08108,0,2,2
07728,08201,0,2,2
07728,08607,0,2,2
07728,08650,0,2,2
07728,08736,0,4,4
07728,08753,0,1,1
07728,08901,0,3,3
07728,76109,0,1,1
07751,07753,0,3,3
07828,01730,0,2,2
07828,02882,0,2,2
07828,06410,0,1,1
07828,06460,0,2,2
07828,06468,0,1,1
07828,06478,0,1,1
07828,06488,0,1,1
07828,06520,0,1,1
07828,06611,0,1,1
07828,06705,0,4,4
07828,06706,0,1,1
07828,06762,0,1,1
07828,06770,0,3,3
07828,06824,0,1,1
07828,07009,0,1,1
07828,07011,0,2,2
07828,07017,0,2,2
07828,07044,0,1,1
