ZCTA5CE10,longt,lat
4547,-69.33,43.98
4548,-69.75,43.81
4551,-69.42,44.00
4553,-69.57,44.05
4554,-69.51,43.86
4555,-69.48,44.11
4556,-69.62,43.97
4558,-69.52,43.90
4562,-69.83,43.78
4563,-69.26,44.01
4564,-69.46,43.93
4568,-69.56,43.88
4570,-69.63,43.81
4571,-69.68,43.90
4572,-69.37,44.11
4573,-69.55,43.95
4574,-69.39,44.27
4575,-69.66,43.85
4576,-69.66,43.82
4578,-69.69,43.98
4579,-69.77,43.96
4605,-68.42,44.66
4606,-67.71,44.54
4607,-68.08,44.47
4609,-68.27,44.39
4611,-67.61,44.48
4612,-68.39,44.24
4613,-68.03,44.37
4614,-68.57,44.40
4616,-68.55,44.27
4617,-68.75,44.35
4619,-67.22,45.13
4622,-67.98,44.76
4623,-67.73,44.73
4624,-67.98,44.42
4625,-68.26,44.26
4626,-67.23,44.67
4627,-68.62,44.22
4628,-67.27,44.87
4629,-68.52,44.43
4630,-67.46,44.84
4631,-67.01,44.91
4634,-68.22,44.65
4635,-68.34,44.15
4637,-67.81,45.20
4640,-68.29,44.53
4642,-68.80,44.33
4643,-67.81,44.55
4644,-68.25,44.41
4645,-68.62,44.06
4646,-68.22,44.25
4648,-67.59,44.66
4649,-67.54,44.56
4650,-68.71,44.28
4652,-67.07,44.82
4653,-68.34,44.22
4654,-67.55,44.76
4655,-67.38,44.64
4657,-67.42,44.97
4658,-67.87,44.51
4660,-68.35,44.34
4662,-68.29,44.30
4664,-68.13,44.55
4666,-67.23,44.98
4667,-67.10,44.98
4668,-67.59,45.21
4669,-68.01,44.41
4671,-67.16,45.07
4673,-68.68,44.31
